  5.2359877E-03  5.2359877E-03  6.0888928E-05  0.9999999    
  5.9588775E-03  -1.000000      -1.000000      -1.000000    
  6.7815706E-03  7.4048052E-03  3.0542698E-04  0.9999998    
  7.7178464E-03  -1.000000      -1.000000      -1.000000    
  8.7833861E-03  9.0689966E-03  1.2349317E-04  0.9999996    
  9.9960361E-03  1.0471975E-02  2.8834242E-04  0.9999998    
  1.1376106E-02  1.2266762E-02  6.1468285E-04  0.9999996    
  1.2946713E-02  -1.000000      -1.000000      -1.000000    
  1.4734158E-02  1.5853602E-02  1.0146936E-03  0.9999993    
  1.6768383E-02  1.8124469E-02  1.0293737E-03  0.9999991    
  1.9083455E-02  2.0610729E-02  1.9308826E-03  0.9999988    
  2.1718150E-02  2.3401292E-02  2.1850576E-03  0.9999985    
  2.4716597E-02  2.6543867E-02  2.4548178E-03  0.9999981    
  2.8129013E-02  2.9894378E-02  2.3163324E-03  0.9999977    
  3.2012559E-02  3.4008086E-02  2.6776283E-03  0.9999970    
  3.6432266E-02  3.8972639E-02  2.6751512E-03  0.9999961    
  4.1462176E-02  4.4539597E-02  2.4652686E-03  0.9999949    
  4.7186513E-02  5.0678346E-02  2.6560465E-03  0.9999935    
  5.3701170E-02  5.7625528E-02  2.5886788E-03  0.9999917    
  6.1115246E-02  6.5493882E-02  2.4004348E-03  0.9999892    
  6.9552921E-02  7.4484058E-02  2.2955560E-03  0.9999861    
  7.9155542E-02  8.4832177E-02  2.0854298E-03  0.9999819    
  9.0083867E-02  9.6578740E-02  1.7819597E-03  0.9999765    
  0.1025210      0.1098819      1.5349466E-03  0.9999697    
  0.1166753      0.1250554      1.3522267E-03  0.9999607    
  0.1327837      0.1422596      1.1914893E-03  0.9999491    
  0.1511160      0.1619639      9.7815564E-04  0.9999340    
  0.1719794      0.1844233      8.2669355E-04  0.9999145    
  0.1957231      0.2098380      6.9527858E-04  0.9998893    
  0.2227451      0.2387708      5.7442731E-04  0.9998566    
  0.2534975      0.2717368      4.8359996E-04  0.9998143    
  0.2884960      0.3092848      4.0235210E-04  0.9997594    
  0.3283262      0.3519587      3.3976260E-04  0.9996884    
  0.3736553      0.4005221      2.8627741E-04  0.9995966    
  0.4252430      0.4558407      2.4501921E-04  0.9994774    
  0.4839528      0.5187805      2.1067746E-04  0.9993232    
  0.5507683      0.5904310      1.8361157E-04  0.9991235    
  0.6268080      0.6719490      1.6193932E-04  0.9988649    
  0.7133464      0.7646980      1.4528948E-04  0.9985301    
  0.8118325      0.8702834      1.3357421E-04  0.9980966    
  0.9239153      0.9904304      1.2696265E-04  0.9975354    
   1.051473       1.127166      1.2686201E-04  0.9968089    
   1.196641       1.282794      1.3545281E-04  0.9958687    
   1.361851       1.459903      1.5615030E-04  0.9946520    
   1.549870       1.661458      1.9389841E-04  0.9930782    
   1.763849       1.890842      2.5653018E-04  0.9910432    
   2.007369       2.151898      3.5489726E-04  0.9884128    
   2.284511       2.448994      5.0509447E-04  0.9850152    
   2.599914       2.787107      7.3092233E-04  0.9806301    
   2.958863       3.171896      1.0672765E-03  0.9749762    
   3.367369       3.609811      1.5656665E-03  0.9676964    
   3.832271       4.092465      2.2760346E-03  0.9586564    
   4.361362       4.606955      3.2435723E-03  0.9478736    
   4.963500       5.174123      4.5925500E-03  0.9346492    
   5.648772       5.819599      6.5330346E-03  0.9179704    
   6.428649       6.554193      9.3304543E-03  0.8969900    
   7.316202       7.390212      1.3375477E-02  0.8707017    
   8.326291       8.341657      1.9234585E-02  0.8379459    
   9.475836       9.424462      2.7738441E-02  0.7974442    
   10.78408       10.65676      4.0104296E-02  0.7478833    
   12.27295       12.05919      5.8111764E-02  0.6880763    
   13.96738       13.65525      8.4375098E-02  0.6172347    
   15.89574       15.47167      0.1227228      0.5353774    
   18.09033       17.27569      0.1701840      0.4551820    
